GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,ChatGPT.Dijkstra.BookExampleCode.T10,Dijkstra.Node,0,12,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,ChatGPT.Dijkstra.BookExampleCode.T10,Dijkstra.Edge,0,12,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,ChatGPT.Dijkstra.BookExampleCode.T10,DijkstraTest,122,234,0,0,18,10,0,4,0,4
JaCoCo Coverage Report,ChatGPT.Dijkstra.BookExampleCode.T10,Dijkstra,4,251,2,24,2,42,2,15,0,4
JaCoCo Coverage Report,ChatGPT.Kruskal.PromptOnly.T10,Kruskal.Edge,8,12,0,0,1,5,1,1,1,1
JaCoCo Coverage Report,ChatGPT.Kruskal.PromptOnly.T10,Kruskal,3,56,0,4,1,14,1,4,1,2
JaCoCo Coverage Report,ChatGPT.Kruskal.PromptOnly.T10,Kruskal.DisjointSet,0,62,0,4,0,12,0,6,0,4
JaCoCo Coverage Report,ChatGPT.Kruskal.PromptOnly.T10,KruskalTest,0,174,0,0,0,7,0,3,0,3
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T2,GraphTest,8,140,0,0,4,17,0,5,0,5
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T2,Graph,0,118,0,10,0,25,0,8,0,3
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T3,GraphTest,8,140,0,0,4,17,0,5,0,5
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T3,Graph,0,118,0,10,0,25,0,8,0,3
JaCoCo Coverage Report,Copilot.BellmanFord.AIGenerated.T10,BellmanFord.Edge,0,12,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,Copilot.BellmanFord.AIGenerated.T10,BellmanFord,3,112,0,16,1,16,1,9,1,1
JaCoCo Coverage Report,Copilot.BellmanFord.AIGenerated.T10,BellmanFordTest,65,188,0,0,9,8,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T1,GraphTest,8,187,0,0,4,30,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T1,Graph,0,118,0,10,0,25,0,8,0,3
JaCoCo Coverage Report,Copilot.Knapsack.AIGenerated.T4,KnapsackTest,0,138,0,0,0,19,0,4,0,4
JaCoCo Coverage Report,Copilot.Knapsack.AIGenerated.T4,Knapsack,0,97,0,10,0,10,0,7,0,2
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T6,Graph,0,118,0,10,0,25,0,8,0,3
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T6,GraphTest,0,187,0,0,0,32,0,4,0,4
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T7,Graph,0,118,0,10,0,25,0,8,0,3
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T7,GraphTest,8,140,0,0,4,17,0,5,0,5
JaCoCo Coverage Report,Copilot.Knapsack.AIGenerated.T5,KnapsackTest,0,48,0,0,0,7,0,2,0,2
JaCoCo Coverage Report,Copilot.Knapsack.AIGenerated.T5,Knapsack,0,97,0,10,0,10,0,7,0,2
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T4,Graph,0,118,0,10,0,25,0,8,0,3
JaCoCo Coverage Report,ChatGPT.BreadthFirstSearch.BookExampleCode.T4,GraphTest,8,140,0,0,4,17,0,5,0,5
